"electrode","degree","strength","betweenness","condition","band","state","region"
"Pz",9,0.124909321571339,0.0102406554019457,"beta_med2","beta","meditation","parietal"
"C3",8,0.119424548967056,0,"beta_med2","beta","meditation","central"
"P9",8,0.114132750800063,0.00563236047107015,"beta_med2","beta","meditation","other"
"P5",8,0.112190554219007,0.0547875064004096,"beta_med2","beta","meditation","other"
"FT7",8,0.106841896370625,0.0240655401945725,"beta_med2","beta","meditation","other"
"FC5",7,0.0958792827072831,0.00256016385048643,"beta_med2","beta","meditation","other"
"P7",7,0.0955508065100963,0.010752688172043,"beta_med2","beta","meditation","other"
"F6",7,0.0947831313219201,0.000512032770097286,"beta_med2","beta","meditation","other"
"P3",7,0.0940933645711643,0.003584229390681,"beta_med2","beta","meditation","parietal"
"PO7",6,0.0820121723238614,0.00256016385048643,"beta_med2","beta","meditation","parietal"
"FC4",6,0.0819663781577167,0.00256016385048643,"beta_med2","beta","meditation","other"
"FT8",5,0.067081360767812,0.0281618023553507,"beta_med2","beta","meditation","other"
"O1",4,0.0564366603651925,0,"beta_med2","beta","meditation","occipital"
"Fpz",4,0.0550745108928088,0.000512032770097286,"beta_med2","beta","meditation","other"
"AF8",4,0.0545630880757353,0.00102406554019457,"beta_med2","beta","meditation","frontal"
"F4",4,0.054506322211899,0.00102406554019457,"beta_med2","beta","meditation","frontal"
"Fp2",4,0.0545054196634628,0,"beta_med2","beta","meditation","frontal"
"C5",3,0.0404995483807284,0.000512032770097286,"beta_med2","beta","meditation","other"
"P8",2,0.0319570806796387,0,"beta_med2","beta","meditation","other"
"TP7",2,0.0289294725774527,0.0271377368151562,"beta_med2","beta","meditation","temporal"
"CP5",2,0.0261327152698414,0.00204813108038914,"beta_med2","beta","meditation","central"
"P6",1,0.014286446600644,0,"beta_med2","beta","meditation","other"
"T7",1,0.0141731961738671,0,"beta_med2","beta","meditation","other"
"F8",1,0.0139363667882464,0,"beta_med2","beta","meditation","frontal"
"T8",1,0.0133466358085345,0,"beta_med2","beta","meditation","other"
"C4",1,0.0128520341105943,0,"beta_med2","beta","meditation","central"
"Fp1",0,0,0,"beta_med2","beta","meditation","frontal"
"PO3",0,0,0,"beta_med2","beta","meditation","parietal"
"FC6",0,0,0,"beta_med2","beta","meditation","other"
"C6",0,0,0,"beta_med2","beta","meditation","other"
"TP8",0,0,0,"beta_med2","beta","meditation","temporal"
"CP6",0,0,0,"beta_med2","beta","meditation","central"
"CP4",0,0,0,"beta_med2","beta","meditation","central"
"P4",0,0,0,"beta_med2","beta","meditation","parietal"
"PO8",0,0,0,"beta_med2","beta","meditation","parietal"
"CP1",35,0.397289945729155,0.0660522273425499,"beta_thinking","beta","thinking","central"
"POz",37,0.389676767786944,0.103942652329749,"beta_thinking","beta","thinking","other"
"C1",30,0.335718022136297,0.0809011776753712,"beta_thinking","beta","thinking","other"
"Oz",29,0.287535722749576,0.0721966205837174,"beta_thinking","beta","thinking","occipital"
"CP3",26,0.279026854420291,0.0102406554019457,"beta_thinking","beta","thinking","central"
"C3",25,0.261429518072608,0.0138248847926267,"beta_thinking","beta","thinking","central"
"P1",25,0.249534462884515,0.0435227854582693,"beta_thinking","beta","thinking","other"
"PO4",24,0.230303731732993,0.143881208397337,"beta_thinking","beta","thinking","parietal"
"P2",23,0.221285534225429,0.123911930363543,"beta_thinking","beta","thinking","other"
"Iz",21,0.208408674892988,0.032258064516129,"beta_thinking","beta","thinking","occipital"
"Cz",20,0.200736252412545,0.0194572452636969,"beta_thinking","beta","thinking","central"
"FC1",15,0.161217158188704,0.0128008192524322,"beta_thinking","beta","thinking","other"
"FCz",14,0.151357658279037,0.00204813108038914,"beta_thinking","beta","thinking","other"
"CPz",15,0.147642223656794,0.00716845878136201,"beta_thinking","beta","thinking","other"
"AFz",13,0.140744972967182,0.00153609831029186,"beta_thinking","beta","thinking","other"
"Pz",15,0.139864230897171,0.0261136712749616,"beta_thinking","beta","thinking","parietal"
"Fz",13,0.13963508691374,0.003584229390681,"beta_thinking","beta","thinking","frontal"
"F1",12,0.129480195059428,0.003584229390681,"beta_thinking","beta","thinking","other"
"F2",13,0.127838379106588,0.017921146953405,"beta_thinking","beta","thinking","other"
"Fpz",11,0.108502908672545,0.000512032770097286,"beta_thinking","beta","thinking","other"
"P3",10,0.10188216359402,0.000512032770097286,"beta_thinking","beta","thinking","parietal"
